record_id,account_name,account_type,sourcing_stream,buyer_lane,geography,niche_tags,current_signal,signal_date,likely_need_hypothesis,front_door_offer,scope_module,relationship_path,budget_or_procurement_evidence,capability_fit_score,current_need_score,budget_path_score,relationship_path_score,delivery_fit_score,total_fit_score,lifecycle_status,outreach_authorized,owner,next_local_step,next_review_date,source_ids,source_urls,access_date,caveats
"OSB-001","Wellness Center for Older Adults (legal filing name Maurice Barnett Geriatric Wellness Center Inc.)","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Plano and Collin County, Texas","OLDER_ADULTS;CAREGIVER_SUPPORT;COMMUNITY_HEALTH;NONCLINICAL_SERVICES","CFT and Lyda Hill Philanthropies announced a $30,000 capacity grant on 2025-12-18; $15,000 was designated for staff, tools, or expertise, and the executive director described capacity expansion.","2025-12-18","HYPOTHESIS TO TEST: a bounded funding pipeline and pursuit calendar could help diversify future funding after the one-time capacity award.","Nonprofit Funding Pipeline Sprint","NOT_APPLICABLE","The CFT capacity cohort is an evidenced ecosystem link; no Felix-specific relationship or introduction is verified.","The $30,000 award and a $15,000 capacity component are evidenced; no source shows that grant research is selected or funds remain available.","2","1","2","0","2","7","RESEARCH_TARGET","NO","UNASSIGNED","Review funding concentration, current development staffing, the capacity-grant spending plan, and any ethical relationship path.","2026-07-19","OS12","https://www.cftexas.org/lhp-2025;https://www.wellnesscenteronline.org/mission;https://projects.propublica.org/nonprofits/organizations/751839305","2026-07-12","Clinical and counseling services remain outside Wellridge scope; funding research must avoid PHI and clinical program control. Award receipt does not prove outside-consultant demand."
"OSB-002","For Oak Cliff","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Dallas and South Oak Cliff, Texas","YOUTH;EDUCATION;ECONOMIC_MOBILITY;SCHOOL_ATTENDANCE","CFT announced on 2026-06-24 that For Oak Cliff received a $1 million grant to lead a new $2 million chronic-absenteeism initiative with Dallas ISD, Big Thought, Communities In Schools, and additional partners to be engaged.","2026-06-24","HYPOTHESIS TO TEST: the new backbone role may need a governance map, partner cadence, compliance calendar, deliverable tracker, and reporting framework.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","CFT, Dallas ISD, and named initiative partners are public ecosystem links; no Felix-specific relationship is verified.","A $1 million award to For Oak Cliff within a $2 million initiative is evidenced; no contractor line or procurement method is disclosed.","2","1","2","0","1","6","RESEARCH_TARGET","NO","UNASSIGNED","Map governance, partner roles, implementation staffing, grant obligations, allowable outside support, and any ethical relationship path.","2026-07-19","OS13","https://www.cftexas.org/about-cft/blog-and-newsroom/communities-foundation-of-texas-awards-10m-to-advance-education/;https://www.foroakcliff.org/;https://projects.propublica.org/nonprofits/organizations/813768369","2026-07-12","A new funded initiative does not prove an implementation gap, outside-support preference, or available professional-services budget. Community and campus work may require in-person delivery."
"OSB-003","From Ordinary to Extraordinary","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Dallas and North Texas","WORKFORCE;SURVIVOR_SUPPORT;HOUSING;TRAINING","United Way of Metropolitan Dallas documented GI Bill acceptance, a participant platform, and expansion plans on 2026-04-21; on 2026-04-30 it reported that every 2026 Pitch finalist received at least $25,000.","2026-04-30","HYPOTHESIS TO TEST: GI Bill-enabled growth and multi-track delivery may need an implementation plan, roles map, compliance calendar, participant-tracker design, and aggregate reporting framework.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","The United Way Social Innovation Accelerator is an evidenced ecosystem route; no Felix-specific relationship is verified.","At least $25,000 of seed funding and approximately $1.66 million of 2025 IRS-derived revenue are visible; restrictions and outside-support availability are unknown.","2","1","2","0","1","6","RESEARCH_TARGET","NO","UNASSIGNED","Review current staffing, funder restrictions, GI Bill reporting implications, data boundaries, and any ethical relationship path.","2026-07-19","OS14","https://unitedwaydallas.org/updates/meet-the-change-makers-reimagining-the-future-of-north-texas/;https://unitedwaydallas.org/updates/the-pitch-delivers-impact-excitement-and-inspiration/;https://projects.propublica.org/nonprofits/organizations/320409527","2026-07-12","No participant chasing, clinical care, legal advice, or sensitive-data handling without defined controls. Seed funding and operating revenue do not establish a consulting budget."
"OSB-004","United to Learn","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Dallas, Texas","K3_LITERACY;TEACHER_PIPELINE;TITLE_I_SCHOOLS;TRAINING","CFT announced a $250,000 grant on 2026-06-24 to expand Team Thrive and Aspiring Teachers across more than 30 Title I Dallas ISD campuses.","2026-06-24","HYPOTHESIS TO TEST: expansion may need implementation governance, partner and tutor calendars, milestone tracking, and grant-reporting support.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","CFT and Dallas ISD are public ecosystem links; no Felix-specific relationship is verified.","A $250,000 award and approximately $5.77 million of 2025 IRS-derived revenue are visible; no external-service line is shown.","2","1","2","0","1","6","RESEARCH_TARGET","NO","UNASSIGNED","Inspect organization structure, careers, implementation materials, restrictions, and existing operations/reporting capacity.","2026-07-19","OS13","https://www.cftexas.org/about-cft/blog-and-newsroom/communities-foundation-of-texas-awards-10m-to-advance-education/;https://www.unitedtolearn.org/aspiring-teachers/;https://projects.propublica.org/nonprofits/organizations/822121965","2026-07-12","A mature organization may already have the needed capacity. Youth and campus work requires bounded administrative scope and appropriate privacy controls."
"OSB-005","Restorative Farms","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","South Dallas, Texas","FOOD_ACCESS;WORKFORCE;REENTRY;COMMUNITY_PROGRAMS","United Way of Metropolitan Dallas described a planned hub-and-spoke expansion in 2026 Accelerator materials and reported on 2026-04-30 that every Pitch finalist received at least $25,000.","2026-04-30","HYPOTHESIS TO TEST: a funded expansion site may need partner governance, launch cadence, milestones, and reporting separate from agricultural and field operations.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","The United Way Accelerator is an evidenced ecosystem route; no Felix-specific relationship is verified.","At least $25,000 of seed funding is evidenced; IRS-derived filings show a small organization and a fiscal-year transition that requires careful interpretation.","2","1","1","0","1","5","WATCH_ACCOUNT","NO","UNASSIGNED","Identify the funded expansion site, partner roster, implementation owner, grant restrictions, and current operating scale.","2026-07-26","OS14","https://unitedwaydallas.org/updates/meet-the-change-makers-reimagining-the-future-of-north-texas/;https://unitedwaydallas.org/updates/the-pitch-delivers-impact-excitement-and-inspiration/;https://projects.propublica.org/nonprofits/organizations/843267808","2026-07-12","Wellridge must not own agriculture, construction, food production, or field operations. Seed funding may be too small for the hypothesized scope."
"OSB-006","#TeenWritersProject","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Dallas and North Texas","YOUTH_LITERACY;CREATIVE_CAREERS;SCHOOL_PARTNERSHIPS;PUBLISHING","United Way of Metropolitan Dallas documented planned local school and partner expansion in 2026 Accelerator materials and reported on 2026-04-30 that every Pitch finalist received at least $25,000.","2026-04-30","HYPOTHESIS TO TEST: local expansion may need a partner-onboarding map, school calendar, deliverable tracker, and reporting system.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","The United Way Accelerator is an evidenced ecosystem route; no Felix-specific relationship is verified.","At least $25,000 of seed funding is evidenced; 2024 IRS-derived revenue was approximately $27,000, so affordability is a material concern.","2","1","1","0","1","5","WATCH_ACCOUNT","NO","UNASSIGNED","Confirm current budget, staffing, school agreements, grant restrictions, privacy obligations, and whether only a very narrow module is plausible.","2026-07-26","OS14","https://unitedwaydallas.org/updates/meet-the-change-makers-reimagining-the-future-of-north-texas/;https://unitedwaydallas.org/updates/the-pitch-delivers-impact-excitement-and-inspiration/;https://www.teenwritersproject.org/;https://projects.propublica.org/nonprofits/organizations/834475042","2026-07-12","Youth privacy, school requirements, and affordability are material. Seed funding does not establish a professional-services budget."
"OSB-007","Communities In Schools of the Dallas Region","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Dallas and 11 North Texas school districts","SCHOOL_SUPPORT;DROPOUT_PREVENTION;GRANT_COMPLIANCE;OPERATIONAL_INFRASTRUCTURE","CFT announced a $600,000 grant on 2026-06-24 for site and clinical coordinators, program delivery, and operational infrastructure; the IRS-derived single-audit summary for the year ended August 2025 reports material noncompliance and a material weakness.","2026-06-24","HYPOTHESIS TO TEST: a narrow compliance calendar or document-control remediation need may exist, but the exact audit finding and corrective-action owner must be understood first.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","CFT and Dallas ISD are public ecosystem links; no Felix-specific relationship is verified.","A $600,000 award and approximately $10.28 million of 2024 revenue are evidenced; no source authorizes outside remediation support.","2","1","2","0","1","6","HOLD","NO","UNASSIGNED","Obtain the audit, identify the exact finding and corrective-action plan, and separate operational support from accounting, legal, audit, or clinical responsibility.","2026-07-19","OS13","https://www.cftexas.org/about-cft/blog-and-newsroom/communities-foundation-of-texas-awards-10m-to-advance-education/;https://cisdallas.org/overview/;https://projects.propublica.org/nonprofits/organizations/752044117","2026-07-12","Do not use an audit issue as a sales hook or infer wrongdoing. Clinical coordination, accounting advice, legal advice, and audit remediation are outside Wellridge competence unless qualified owners are engaged."
"OSB-008","Maximus","ESTABLISHED_PRIME","CONSULTANT_AND_PRIME_PARTNER","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","Texas and United States","HEALTH_AND_HUMAN_SERVICES;ELIGIBILITY;PROGRAM_OPERATIONS;PROPOSAL_OPERATIONS","Texas LBB FY2026 Q1 reporting shows major HHSC contract scale; Maximus reported $913 million of signed awards and $1.48 billion of proposals in preparation on 2026-05-07.","2026-05-07","HYPOTHESIS TO TEST: a named health or human-services pursuit may need bounded solicitation analysis, a compliance matrix, proposal calendar, attachment and partner coordination, and submission QA.","Proposal & Program Operations Support","PROPOSAL_SPRINT","Maximus operates a Small Business and Strategic Partnership Office and online network; registration is an external action and is not authorized.","Current Texas contract scale and a large active proposal pipeline are evidenced; no Wellridge-specific pursuit, package, or budget is evidenced.","2","1","2","2","1","8","RESEARCH_TARGET","NO","UNASSIGNED","Inspect relevant Texas contract amendments and pursuits, isolate a non-PHI work package, and document supplier-readiness, proof, formation, and insurance gaps without registering.","2026-07-19","OS15","https://www.lbb.texas.gov/Documents/Instructions/Contracts/9424_2026_Q1_10Percent_Summary_Memo.pdf;https://investor.maximus.com/news-events/press-releases/detail/585/maximus-reports-fiscal-year-2026-second-quarter-results;https://maximus.com/federal-government/small-business-and-strategic-partnership-office.html","2026-07-12","A partnership database and prime pipeline do not prove demand. Eligibility decisions, solution architecture, sensitive data, and large-scale operations are outside the hypothesized work package."
"OSB-009","American Institutes for Research","ESTABLISHED_PRIME","CONSULTANT_AND_PRIME_PARTNER","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","Texas and United States","EDUCATION;PARENT_ENGAGEMENT;TEACHER_TRAINING;PROGRAM_EVALUATION","AIR states that the first MITOS school cohort will begin in fall 2026 with parent workshops and teacher training; AIR also provides a formal business-partner route.","FALL_2026_PLANNED","HYPOTHESIS TO TEST: a defined DFW cohort may need workshop logistics, school-partner coordination, document control, and evaluation evidence-file support.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","AIR provides a formal Business Partner Request Form and Small Business Liaison route; no submission or registration is authorized.","A funded multi-institution project and partner process are evidenced, but the award value and a Wellridge-sized work package are not published.","2","1","1","2","2","8","RESEARCH_TARGET","NO","UNASSIGNED","Locate funding and role-split documents; verify DFW school participation, who owns logistics, supplier prerequisites, and any current bounded package.","2026-07-19","OS16","https://www.air.org/project/meaningful-interactions-using-technology-outside-school-mitos-research-based-approach-early;https://www.air.org/working-air/partner-us","2026-07-12","AIR is the evaluation partner; workshops or logistics may belong to UT Austin or SMU. Formal partner intake is not demand."
"OSB-010","Mathematica","ESTABLISHED_PRIME","CONSULTANT_AND_PRIME_PARTNER","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","United States; Texas work to verify","BEHAVIORAL_HEALTH;WORKFORCE;GRANT_PERFORMANCE;REPORTING","Current 2026 pages describe continuing HHS grant-performance, behavioral-health, workforce, and SAMHSA reporting work supporting more than 2,000 grants.","2026_CURRENT_PAGES","HYPOTHESIS TO TEST: a named grantee subset may need a deliverable calendar, reporting-production QA, evidence files, document control, and nonclinical partner coordination.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","Mathematica publishes a Small Business Subcontracting Program and partnership channel; no contact or registration is authorized.","Current federal work and contract vehicles are evidenced; no Texas/local work package or budget is identified.","2","1","2","2","1","8","RESEARCH_TARGET","NO","UNASSIGNED","Map current task orders and subcontracts to Texas or community implementation work; identify small-business requirements and keep analytics authority outside scope.","2026-07-26","OS17","https://www.mathematica.org/features/improving-public-well-being-through-integrated-data-technology-and-evidence;https://www.mathematica.org/projects/samhsa-performance-accountability-and-reporting-system;https://mathematica.org/about-mathematica/work-with-us","2026-07-12","Visible work is data, research, evaluation, and technology heavy. Wellridge cannot claim analytics, clinical, or research authority."
