record_id,account_name,account_type,sourcing_stream,buyer_lane,geography,niche_tags,current_signal,signal_date,likely_need_hypothesis,front_door_offer,scope_module,relationship_path,budget_or_procurement_evidence,capability_fit_score,current_need_score,budget_path_score,relationship_path_score,delivery_fit_score,total_fit_score,lifecycle_status,outreach_authorized,owner,next_local_step,next_review_date,source_ids,source_urls,access_date,caveats
"OSP-001","SuperVive (legal name Rosa Es Rojo Inc.)","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Plano and Dallas, Texas","BEHAVIORAL_HEALTH_ACCESS;COMMUNITY_HEALTH;HISPANIC_COMMUNITIES","CFT and Lyda Hill Philanthropies announced a $30,000 capacity grant on 2025-12-18, including $15,000 for organizational capacity and eligible third-party technical assistance; Texas Health announced the organization as lead grantee for a $258,119 culturally tailored mental-health access project on 2025-01-22.","2025-12-18","HYPOTHESIS TO TEST: the app and referral initiative may need a bounded implementation plan, partner map, deliverable calendar, or aggregate reporting framework.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","No verified warm path; CFT and Texas Health are evidenced ecosystem links only.","The capacity grant expressly permits third-party technical assistance and the 2024 Form 990 reports $488,798 revenue; neither proves funds remain available for Wellridge.","2","1","2","0","1","6","RESEARCH_TARGET","NO","UNASSIGNED","Verify award period, allowable external support, current implementation phase, clinical and data boundaries, and any ethical Felix relationship before a human go/no-go review.","UNSCHEDULED","OS01","https://en.supervive.org/;https://www.cftexas.org/lhp-2025;https://www.texashealth.org/newsroom/News-Releases/2025/Texas-Health-Awards-5-Million-in-Grants-to-Help-Underserved-Communities-Across-North-Texas;https://projects.propublica.org/nonprofits/organizations/813557997","2026-07-12","It has a development director; the capacity grant may already be committed. Counseling, referral judgment, and PHI must remain with qualified parties. No buyer need or outreach permission is established."
"OSP-002","Vickery Meadow Youth Development Foundation","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Dallas, Texas","EDUCATION;COLLEGE_ACCESS;WORKFORCE_ADJACENT;FAMILY_SUPPORT","CFT and Lyda Hill Philanthropies announced a $30,000 capacity grant on 2025-12-18; the current organization site shows college-access, enrichment, career-exploration, and parent programming.","2025-12-18","HYPOTHESIS TO TEST: a qualified education and family-support funding pipeline may help sequence future college-access, career-exploration, parent-education, and community-program opportunities.","Nonprofit Funding Pipeline Sprint","NOT_APPLICABLE","No verified warm path; participation in a CFT cohort is not an introduction.","The capacity grant permits third-party technical assistance and the 2024 Form 990 reports approximately $1.57 million revenue; no specific uncommitted consulting budget is evidenced.","2","1","2","0","2","7","RESEARCH_TARGET","NO","UNASSIGNED","Map the current funder mix, grant calendar, internal development capacity, priority program, and any ethical Felix relationship before a human go/no-go review.","UNSCHEDULED","OS02","https://www.vmydf.org/;https://www.cftexas.org/lhp-2025;https://projects.propublica.org/nonprofits/organizations/261199982","2026-07-12","Experienced leadership and the capacity award do not prove a funding-pipeline gap or outside-consultant demand. No outreach permission is established."
"OSP-003","CLC, Inc. (Community Learning Center, Inc.)","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Fort Worth, Texas","WORKFORCE_TRAINING;VETERANS;YOUTH;FEDERAL_GRANTS","United Way of Tarrant County named CLC one of nine FY2025-26 Veterans Fund recipients on 2025-11-14; its current site lists veteran, YouthBuild, AmeriCorps, reentry, and occupational-training programs.","2025-11-14","HYPOTHESIS TO TEST: a veteran or youth workforce cohort may need a bounded workplan, partner calendar, participant-milestone structure, compliance calendar, or reporting QA system.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","No verified warm path; United Way and Fort Worth workforce or veteran networks are ecosystem links only.","The organization is an experienced grantee; public tax data reports approximately $3.66 million 2024 revenue and DOL awarded a $1.25 million YouthBuild grant in 2023. The individual Veterans Fund amount is not published in the cited announcement.","2","1","2","0","1","6","RESEARCH_TARGET","NO","UNASSIGNED","Identify the specific Veterans Fund or workforce deliverables, current internal compliance capacity, renewal timing, procurement discretion, and any ethical relationship path.","UNSCHEDULED","OS03","https://clcinc.org/;https://www.unitedwaytarrant.org/blog/organization-news/mission-united-announces-fy25-26-veterans-fund-recipients;https://www.dol.gov/sites/dolgov/files/ETA/youth/pdfs/2023YB.pdf;https://projects.propublica.org/nonprofits/organizations/752866735","2026-07-12","An experienced federal grantee may already have strong systems. Participant administration can become high-volume work. Public tax flags require ordinary diligence and are not evidence of wrongdoing. No buyer need or outreach permission is established."
"OSP-004","Cowtown Clubhouse (Tarrant County Clubhouse)","NONPROFIT","NONPROFIT_DIRECT","NONPROFIT_FUNDING_AND_PROPOSAL","Fort Worth, Texas","NONCLINICAL_BEHAVIORAL_HEALTH;COMMUNITY_SUPPORT;OUTCOMES_REPORTING","Hogg Foundation named Cowtown Clubhouse to a five-year flexible-funding initiative on 2024-05-02; the organization says a new executive director joined in 2025-11 and that grant/donor/Clubhouse reporting uses aggregate, non-identifiable member data.","2025-11 (exact day not published)","HYPOTHESIS TO TEST: a small team with multiyear capacity funding may benefit from a bounded funding-diversification pipeline.","Nonprofit Funding Pipeline Sprint","NOT_APPLICABLE","No verified warm path.","A multiyear flexible-funding path is evidenced, but the recipient's individual award amount, uncommitted funds, affordability, and buying authority are not published.","2","1","1","0","1","5","WATCH_ACCOUNT","NO","UNASSIGNED","Verify current funding priorities, reporting burden, affordability, decision authority, data boundary, and any ethical Felix relationship before considering promotion to research target.","UNSCHEDULED","OS04","https://hogg.utexas.edu/hogg-foundation-awards-reliable-flexible-funding-to-strengthen-capacity-of-historically-under-resourced-mental-health-organizations;https://cowtownclubhouse.org/our-staff;https://cowtownclubhouse.org/become-a-member","2026-07-12","The public team appears small. Wellridge must remain nonclinical and use only minimum-necessary aggregate or de-identified data. No buyer need or outreach permission is established."
"OSP-005","Social Impact Architects","CONSULTANT_PARTNER","CONSULTANT_AND_PRIME_PARTNER","BOTH_LANES","Dallas-Fort Worth, Texas; national work","NONPROFIT_STRATEGY;PUBLIC_SECTOR;IMPACT_MEASUREMENT;COMMUNITY_PROGRAMS","Current official pages say the firm serves nonprofits, foundations, government, and socially minded businesses through planning, training, impact measurement, storytelling, and systems-change work.","UNDATED_CURRENT_PAGES","HYPOTHESIS TO TEST: a future backend proposal-production role may exist only if an explicit complementary capacity gap is evidenced.","NO_FIT_CURRENT_EVIDENCE","FUTURE_CONDITIONAL_PROPOSAL_SPRINT","A public contact channel exists; no supplier program, warm path, or current capacity request is evidenced.","An established cross-sector client base is visible, but no project budget, outsourcing need, or procurement path for Wellridge is evidenced.","1","0","1","1","2","5","HOLD","NO","UNASSIGNED","Map recent relevant engagements, team capacity, competitive overlap, and any ethical relationship path; test whether proposal and compliance production is complementary rather than duplicative.","UNSCHEDULED","OS05","https://socialimpactarchitects.com/services/;https://socialimpactarchitects.com/media-resources/","2026-07-12","There is significant overlap in planning, measurement, storytelling, and implementation. Boutique scale and a public contact form do not establish subcontract demand or outreach permission."
"OSP-006","M. Gale","CONSULTANT_PARTNER","CONSULTANT_AND_PRIME_PARTNER","BOTH_LANES","Fort Worth, Texas; North Texas and Southwest","FUNDRAISING;NONPROFIT_MANAGEMENT;CAMPAIGNS;ORGANIZATIONAL_CAPACITY","Current official pages show campaign, fundraising, organizational-systems, strategic-planning, training, interim-leadership, and coaching services from a Fort Worth office.","UNDATED_CURRENT_PAGES","HYPOTHESIS TO TEST: a complementary government-grant or compliance role may exist only if a specific capacity gap is evidenced.","NO_FIT_CURRENT_EVIDENCE","NOT_APPLICABLE","A public contact channel and industry membership are visible; no supplier program, warm path, or current capacity request is evidenced.","A mature consulting practice and client history are visible, but no project budget or outsourcing path for Wellridge is evidenced.","1","0","1","1","2","5","HOLD","NO","UNASSIGNED","Map service overlap, recent client work, team capacity, government-grant depth, and any ethical relationship path before a partner-fit go/no-go review.","UNSCHEDULED","OS06","https://www.mgale.co/services;https://www.mgale.co/our-work","2026-07-12","M. Gale already offers research, proposal-adjacent, and interim-capacity services, creating meaningful overlap. No subcontract demand or outreach permission is established."
"OSP-007","Abt Global","ESTABLISHED_PRIME","CONSULTANT_AND_PRIME_PARTNER","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","United States; national federal work","BEHAVIORAL_HEALTH;TECHNICAL_ASSISTANCE;COMMUNITY_ENGAGEMENT;WORKFORCE;EVALUATION","Current official pages describe SAMHSA behavioral-health work spanning workforce, communications, technical assistance, community-organization capacity, listening sessions, training, and engagement; Abt's small-business page says its Partner Registry covers current and potential opportunities.","UNDATED_CURRENT_PAGES","HYPOTHESIS TO TEST: a narrow first-tier work package could cover localized community-partner coordination, training logistics, document control, compliance calendars, reporting production, or nonclinical stakeholder engagement.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","An explicit small-business Partner Registry is evidenced; registration is an external action and is not authorized.","Abt is an established federal prime with current relevant program work and says it has partnered with 3,300 small businesses and consultants; no particular work package or budget for Wellridge is evidenced.","2","1","2","2","1","8","RESEARCH_TARGET","NO","UNASSIGNED","Map relevant Abt contracts, geographic/community work packages, small-business requirements, readiness gaps, and any ethical relationship path without creating a registry profile.","UNSCHEDULED","OS07","https://www.abtglobal.com/projects/improving-access-quality-and-delivery-of-behavioral-health-care;https://www.abtglobal.com/doing-business-with-abt/small-business-programs-and-supplier-diversity","2026-07-12","Registry access does not imply demand or selection. Formation, controls, relevant past performance, insurance, security, and a narrowly differentiated scope would likely be required."
"OSP-008","ICF","ESTABLISHED_PRIME","CONSULTANT_AND_PRIME_PARTNER","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","United States; federal, state, and local work","HEALTH_AND_SOCIAL_PROGRAMS;TECHNICAL_ASSISTANCE;TRAINING;GRANTS_MANAGEMENT;PROGRAM_IMPLEMENTATION","ICF's 2026-05-07 results reported active first-quarter government awards, including a $23.0 million federal-health award and a $15.7 million DOL rulemaking-support award; current technical-assistance and Supplier Hub pages show program, grantee, training, compliance, and potential-supplier infrastructure.","2026-05-07","HYPOTHESIS TO TEST: a narrow work package could cover localized stakeholder coordination, proposal/compliance production, training logistics, reporting, document control, or nonclinical program-launch support.","Proposal & Program Operations Support","PROGRAM_LAUNCH_COMPLIANCE","ICF operates a free potential-supplier registration hub; registration is an external action and is not authorized.","Current public results show a large active government award base and the Supplier Hub provides a procurement path, but no Wellridge-specific scope or budget is evidenced.","2","1","2","2","1","8","RESEARCH_TARGET","NO","UNASSIGNED","Map relevant health, workforce, and social-program contracts; identify localized work packages and readiness requirements without registering in the Supplier Hub.","UNSCHEDULED","OS08","https://www.icf.com/news/2026/05/icf-reports-first-quarter-2026-results;https://www.icf.com/work/technical-assistance;https://www.icf.com/company/about/partners/suppliers","2026-07-12","The qualification barrier is high and much visible work is technical. A supplier profile does not establish demand, selection, or outreach permission."
"OSP-009","Public Consulting Group (PCG)","ESTABLISHED_PRIME","CONSULTANT_AND_PRIME_PARTNER","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","United States; active Texas public-sector work","PROGRAM_MANAGEMENT;EDUCATION;WORKFORCE;HEALTH_AND_HUMAN_SERVICES;GRANTS_MANAGEMENT","Texas DIR lists PCG as prime on active contract DIR-CPO-6219 for deliverables-based IT services including project and program management; PCG case studies show Texas health-equity, education, workforce, and grant-management work.","ACTIVE_ON_2026-07-12","HYPOTHESIS TO TEST: a future non-IT program-operations role may exist only if a separate relevant contract and subcontracting path are evidenced.","NO_FIT_CURRENT_EVIDENCE","FUTURE_CONDITIONAL_PROGRAM_LAUNCH_COMPLIANCE","A general 'Partner with Us' inquiry exists, but no dedicated small-business supplier portal or warm path was verified.","An active Texas prime contract and relevant national work are evidenced; the DIR contract expressly has no resellers and is not itself a Wellridge entry path.","0","1","2","1","1","5","WATCH_ACCOUNT","NO","UNASSIGNED","Identify non-IT Texas program work, actual subcontracting channels, localized capacity gaps, and technical-versus-administrative scope boundaries before any partner-fit review.","UNSCHEDULED","OS09","https://dir.texas.gov/contracts/vendors/public-consulting-group-llc;https://letssolveittogether.pcgus.com/case-studies/","2026-07-12","Much visible Texas work is IT or data intensive and outside Wellridge's owned scope. The general inquiry is not a supplier channel and no demand or outreach permission is established."
"OSP-010","North Central Texas Council of Governments (NCTCOG)","AGENCY_WATCH","SELECTIVE_AGENCY_WATCH","PUBLIC_SECTOR_PROPOSAL_AND_PROGRAM_OPERATIONS","16-county North Central Texas region; Arlington headquarters","PUBLIC_ENGAGEMENT;COMMUNITY_PROGRAMS;TRAINING;PROGRAM_ADMINISTRATION;REPORTING","On 2026-06-25 the Board authorized two already-awarded dementia-capable Community Health Worker contracts with a cumulative $275,000 ceiling; the FY2026-27 work program documents recurring engagement, education, coordination, performance, training, administration, and consultant-supported work.","2026-06-25","HYPOTHESIS TO TEST: a future nonclinical administrative task may include stakeholder coordination, accessible-engagement workflows, compliance calendars, reporting, training logistics, or closeout evidence only after a distinct live signal.","NO_FIT_CURRENT_EVIDENCE","FUTURE_CONDITIONAL_PROGRAM_LAUNCH_COMPLIANCE","NCTCOG uses BidNet Direct and advertises procurement networking; no registration or event action is authorized. Partner-first research is more realistic than a direct-bid assumption.","The cited $275,000 contracts and published work program evidence a buying path but are not open opportunities. NCTCOG says free Limited Access BidNet registration receives matching notices; no registration was performed.","1","1","2","1","1","6","WATCH_ACCOUNT","NO","UNASSIGNED","Map relevant divisions, recurring titles and NIGP codes, recent awardees, annual timing, and Wellridge-owned versus specialist-owned scope; verify live status in BidNet before any future pursuit.","UNSCHEDULED","OS10","https://www.nctcog.org/agency-administration/purchasing;https://www.nctcog.org/getContentAsset/8cc3a5f2-ceb3-4877-945c-bbcf7ef6872d/dfc3d011-8f63-43f6-9ed8-4b444333a1d0/2026-06-COMPLETE-Agenda.pdf?language=en-US;https://www.nctcog.org/getmedia/5942d307-7d61-4853-9b1e-5b86c05170c7/FY2026-and-FY2027-UPWP-Full-Doc.pdf;https://www.nctcog.org/trans/funds/Overview","2026-07-12","The $275,000 award contains clinical screening and counseling outside Wellridge's scope; it is market evidence only. The transportation page labels some closed items current, and NCTCOG's wording at exactly $50,000 is inconsistent. Wellridge is not direct-prime ready."
